,T2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
1984-01-01,-2.35,3.33,0.0
1984-01-02,-0.1,1.14,0.01
1984-01-03,-0.59,3.5,0.04
1984-01-04,1.47,1.65,0.7
1984-01-05,1.37,3.23,0.16
1984-01-06,1.85,3.08,0.0
1984-01-07,0.91,3.36,0.04
1984-01-08,1.63,3.46,0.17
1984-01-09,6.65,2.79,1.43
1984-01-10,-0.28,0.51,14.75
1984-01-11,-4.36,2.38,0.01
1984-01-12,-1.82,3.04,0.44
1984-01-13,0.44,2.64,0.28
1984-01-14,-0.99,3.47,0.07
1984-01-15,-1.54,0.61,0.44
1984-01-16,-0.95,0.6,1.61
1984-01-17,-1.09,0.74,1.0
1984-01-18,-3.64,0.37,9.23
1984-01-19,-11.36,3.04,0.02
1984-01-20,-10.86,3.05,0.0
1984-01-21,-14.31,3.21,0.0
1984-01-22,-6.71,2.88,0.59
1984-01-23,-0.19,0.89,16.97
1984-01-24,3.29,1.21,2.75
1984-01-25,1.14,2.54,0.05
1984-01-26,2.38,2.76,0.0
1984-01-27,1.64,1.34,0.0
1984-01-28,0.17,1.97,0.0
1984-01-29,2.65,3.42,0.0
1984-01-30,0.14,1.32,0.0
1984-01-31,-1.99,3.74,0.0
1984-02-01,1.55,3.93,0.0
1984-02-02,5.51,3.89,0.35
1984-02-03,4.64,1.81,7.45
1984-02-04,1.73,3.48,0.6
1984-02-05,-2.31,1.33,3.96
1984-02-06,-6.57,2.84,0.47
1984-02-07,-6.54,3.35,0.0
1984-02-08,-1.07,3.81,0.07
1984-02-09,3.21,4.07,2.32
1984-02-10,7.42,2.12,20.19
1984-02-11,12.44,1.91,1.89
1984-02-12,13.58,3.0,3.88
1984-02-13,8.82,2.81,15.01
1984-02-14,7.17,4.45,0.01
1984-02-15,8.05,4.14,0.02
1984-02-16,10.25,3.17,0.04
1984-02-17,9.96,4.38,0.08
1984-02-18,10.39,3.84,0.6
1984-02-19,9.24,4.15,2.0
1984-02-20,4.22,1.4,0.0
1984-02-21,4.61,4.91,0.04
